UF,Cidade,País,Instituição,Formação,Área,Sub Área,Data Inscrição,Categoria,Inscrição,Credenciado,Data Credenciamento,Hora Credenciamento,Material,Inscrito,Código de Conduta,Com qual das opções abaixo você se identifica?,Como você classificaria seu nível de conhecimento em Python?,Como você se define?,Como você se identifica?,Direitos de conteúdo e imagem,Termo de consentimento para tratamento de dados pessoais,"Você possui alguma deficiência? Se sim, qual?",Você programa em Python?,Você trabalha com Python
PI,Teresina,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,19/06/2025 23:19:00,INGRESSO SOCIAL - RESGATE COM O CUPOM,Aprovado,sim,21/06/2025,08:34,sim,sim,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu
PI,São Raimundo Nonato,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,29/05/2025 23:17:00,INTEIRA - ÚLTIMO LOTE,Aprovado,sim,21/06/2025,09:42,sim,sim,SIM,Heterossexual / Cisgênero,Iniciante,Uma pessoa parda,Mulher,SIM,SIM,Não respondeu,Não sei programar,Não
PI,Parnaíba,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,17/02/2025 21:28:00,MEIA - 1° LOTE,Aprovado,sim,21/06/2025,10:37,sim,sim,SIM,Heterossexual / Cisgênero,Iniciante,Uma pessoa parda,Homem,SIM,SIM,Não respondeu,Há mais de um ano,"Não, mas pretendo"
PI,Parnaíba,Brasil,IFPI - INSTITUTO FEDERAL DO PIAUÍ - CAMPUS PARNAIBA,Não respondeu,Não respondeu,Não respondeu,29/04/2025 23:51:00,MEIA - 2° LOTE,Aprovado,sim,21/06/2025,08:56,não,sim,SIM,Heterossexual / Cisgênero,Intermediário,Uma pessoa parda,Homem,SIM,SIM,Não respondeu,Há mais de três anos,Sim
PI,Teresina,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,03/03/2025 12:45:00,MEIA - 1° LOTE,Aprovado,sim,21/06/2025,08:50,não,sim,SIM,Parte da comunidade LGBTQIA+,Intermediário,Uma pessoa negra,Homem,SIM,SIM,Não respondeu,Há mais de um ano,"Não, mas pretendo"
PI,Teresina,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,18/06/2025 16:31:00,INGRESSO SOCIAL - RESGATE COM O CUPOM,Aprovado,não,Não credenciado,Não credenciado,não,sim,SIM,Heterossexual / Cisgênero,Intermediário,Uma pessoa branca,Homem,SIM,SIM,Não respondeu,Há mais de três anos,"Não, mas pretendo"
PI,Teresina,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,17/06/2025 01:25:00,INGRESSO SOCIAL - RESGATE COM O CUPOM,Aprovado,não,Não credenciado,Não credenciado,não,sim,SIM,Heterossexual / Cisgênero,Intermediário,Uma pessoa branca,Homem,SIM,SIM,Não respondeu,Há mais de um ano,"Não, mas pretendo"
PI,Teresina,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,17/06/2025 06:50:00,INGRESSO SOCIAL - RESGATE COM O CUPOM,Aprovado,não,Não credenciado,Não credenciado,não,sim,SIM,Heterossexual / Cisgênero,Intermediário,Uma pessoa parda,Homem,SIM,SIM,Não respondeu,Há mais de um ano,"Não, mas pretendo"
PI,Teresina,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,17/02/2025 15:29:00,PROMOCIONAL,Aprovado,sim,21/06/2025,09:12,sim,sim,SIM,Heterossexual / Cisgênero,Iniciante,Uma pessoa parda,Homem,SIM,SIM,Não respondeu,Há mais de três anos,Não
PI,Teresina,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,26/05/2025 11:12:00,Exclusivo da organização,Aprovado,sim,21/06/2025,08:21,não,sim,SIM,Parte da comunidade LGBTQIA+,Intermediário,Uma pessoa branca,Mulher,SIM,SIM,Não respondeu,Há mais de cinco anos,Não
