Produto,Preço,País,Estado,Cupom,Tamanho de camisa,Ano de nascimento,Como você se define?,"Você possui alguma deficiência? Se sim, qual?",Você programa em Python?,Como você classificaria seu nível de conhecimento em Python?,Você trabalha com Python?,Termo de consentimento para tratamento de dados pessoais,Direitos de conteúdo e imagem,Você concorda em compartilhar seus dados com os patrocinadores?,Provedores de pagamento
Meia entrada (2º lote),110,Não respondeu,Não respondeu,UERN-MV4KG,P - 49cm tórax - 66cm comprimento,2003,Uma pessoa branca,Não respondeu,Comecei no último ano,Iniciante,Não,Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (2º lote),130,Não respondeu,Não respondeu,Não respondeu,P - 49cm tórax - 66cm comprimento,2001,Uma pessoa parda,Não,Há mais de três anos,Avançado,Sim,Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (2º lote),110,Não respondeu,Não respondeu,UERN-MV4KG,M - 52cm tórax - 70cm comprimento,2005,Uma pessoa branca,Não respondeu,Há mais de três anos,Intermediário,Não,Sim,Sim,Não,Cartão de Crédito via Stripe
Meia entrada (2º lote),110,Não respondeu,Não respondeu,UERN-MV4KG,PP - 46cm tórax - 63cm comprimento,2005,Prefiro não responder,Não respondeu,"Não programo em Python, mas sei programar em outras linguagens",Ainda vou aprender,"Não, mas pretendo",Sim,Sim,Sim,Cartão de Crédito via Stripe
Ingresso (2º lote),0,Não respondeu,Não respondeu,ORG-BMVTHEH93P2RD4AQ,M - 52cm tórax - 70cm comprimento,1993,Uma pessoa parda,Não respondeu,Há mais de cinco anos,Iniciante,Não,Sim,Sim,Não,Não respondeu
Meia entrada (2º lote),130,Não respondeu,Não respondeu,Não respondeu,GG - 60cm tórax - 76cm comprimento,1994,Uma pessoa branca,Não respondeu,"Não programo em Python, mas sei programar em outras linguagens",Iniciante,"Não, mas pretendo",Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (2º lote),130,Não respondeu,Não respondeu,Não respondeu,M - 52cm tórax - 70cm comprimento,2006,Uma pessoa parda,Não,Comecei no último ano,Intermediário,Não,Sim,Sim,Não,Cartão de Crédito via Stripe
Meia entrada (2º lote),110,Não respondeu,Não respondeu,UERN-MV4KG,PP - 46cm tórax - 63cm comprimento,2005,Uma pessoa parda,Não,"Não programo em Python, mas sei programar em outras linguagens",Iniciante,"Não, mas pretendo",Sim,Sim,Não,Cartão de Crédito via Stripe
Meia entrada (2º lote),110,Não respondeu,Não respondeu,UERN-MV4KG,G - 56cm tórax - 73cm comprimento,2003,Uma pessoa parda,Nenhuma,Não sei programar,Ainda vou aprender,Não,Sim,Sim,Não,Cartão de Crédito via Stripe
Meia entrada (2º lote),110,Não respondeu,Não respondeu,UERN-MV4KG,G - 56cm tórax - 73cm comprimento,2005,Uma pessoa negra,Não respondeu,Há mais de três anos,Intermediário,"Não, mas pretendo",Sim,Sim,Sim,Cartão de Crédito via Stripe
Meia entrada (2º lote),130,Não respondeu,Não respondeu,Não respondeu,M - 52cm tórax - 70cm comprimento,2007,Uma pessoa branca,Não respondeu,Há mais de três anos,Avançado,Sim,Sim,Sim,Não,Cartão de Crédito via Stripe
Ingresso (2º lote),260,Não respondeu,Não respondeu,Não respondeu,M - 52cm tórax - 70cm comprimento,2002,Uma pessoa branca,Não respondeu,Há mais de um ano,Iniciante,Não,Sim,Sim,Sim,Cartão de Crédito via Stripe
Ingresso (2º lote),0,Não respondeu,Não respondeu,ORG-BMVTHEH93P2RD4AQ,P - 49cm tórax - 66cm comprimento,1991,Uma pessoa branca,Não,Comecei no último ano,Intermediário,"Não, mas pretendo",Sim,Sim,Sim,Não respondeu
Meia entrada (2º lote),130,Não respondeu,Não respondeu,Não respondeu,GG - 60cm tórax - 76cm comprimento,2002,Uma pessoa parda,Não,Comecei no último ano,Iniciante,"Não, mas pretendo",Sim,Sim,Sim,Cartão de Crédito via Stripe
